// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B4778E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
33963		5.791631	-0.865516	7.805607	-0.043568	0.042220	-0.054822	0.000944	0.016514	0.003568	-0.651367	0.505127	-0.667236	0.057923	-0.008654	0.078051	0.465921	-0.294500	-0.116068	-0.826266	-5.899432	-36.500361	-119.216871
33964		5.791617	-0.841435	7.804012	-0.024242	0.027958	-0.058094	0.003528	0.013469	0.008564	-0.653564	0.500732	-0.672363	0.057922	-0.008413	0.078036	0.465965	-0.294477	-0.116065	-0.826250	-5.900106	-36.497516	-119.211245
33965		5.767981	-0.816646	7.796346	0.002550	0.027169	-0.080330	0.003365	0.016364	0.001623	-0.653809	0.504639	-0.666748	0.057686	-0.008167	0.077959	0.465979	-0.294440	-0.116065	-0.826255	-5.897900	-36.493587	-119.211016
33966		5.795198	-0.844101	7.782285	-0.036912	0.015900	-0.073120	-0.000775	0.014152	-0.000417	-0.659912	0.508789	-0.669922	0.057957	-0.008441	0.077819	0.465980	-0.294420	-0.116055	-0.826263	-5.897318	-36.490906	-119.211776
33967		5.806893	-0.814852	7.833804	0.002023	0.015611	-0.027381	0.003628	0.016246	-0.000479	-0.642822	0.502197	-0.662598	0.058075	-0.008150	0.078333	0.465986	-0.294381	-0.116059	-0.826273	-5.894081	-36.487168	-119.213028
33968		5.792745	-0.843725	7.784152	-0.036047	0.017532	-0.073119	0.003366	0.016364	0.001620	-0.651611	0.504639	-0.660400	0.057934	-0.008438	0.077837	0.466004	-0.294344	-0.116058	-0.826277	-5.892072	-36.483120	-119.212254
33969		5.780830	-0.813803	7.829563	0.010332	0.030699	-0.046353	0.002681	0.012908	-0.002096	-0.656982	0.497803	-0.672363	0.057813	-0.008140	0.078292	0.465999	-0.294321	-0.116069	-0.826286	-5.888842	-36.481379	-119.214408
33970		5.814214	-0.843656	7.791925	-0.042635	0.005740	-0.054148	0.003804	0.013971	-0.002206	-0.656250	0.500000	-0.664551	0.058147	-0.008439	0.077915	0.465995	-0.294290	-0.116080	-0.826297	-5.884893	-36.478995	-119.216999
33971		5.814192	-0.818866	7.790417	-0.023286	-0.008504	-0.057414	0.006137	0.018253	-0.002801	-0.648926	0.499756	-0.663086	0.058149	-0.008192	0.077899	0.465996	-0.294236	-0.116093	-0.826314	-5.879154	-36.474249	-119.220042
33972		5.783373	-0.814964	7.808771	-0.001904	0.019477	-0.061375	0.005103	0.012758	-0.004040	-0.657715	0.503662	-0.677002	0.057839	-0.008153	0.078084	0.465984	-0.294207	-0.116115	-0.826328	-5.873760	-36.472683	-119.223943
33973		5.804638	-0.838995	7.818303	-0.027835	0.021945	-0.039134	0.006664	0.018015	-0.007003	-0.659912	0.501709	-0.665527	0.058053	-0.008395	0.078178	0.465969	-0.294151	-0.116137	-0.826354	-5.865960	-36.468317	-119.229946
33974		5.804471	-0.813953	7.816919	-0.008495	0.007698	-0.042401	0.006137	0.018253	-0.002806	-0.655762	0.506348	-0.665039	0.058052	-0.008143	0.078164	0.465967	-0.294097	-0.116150	-0.826372	-5.860176	-36.463530	-119.233386
33975		5.784259	-0.839660	7.790899	-0.033074	0.023335	-0.073121	0.006401	0.018135	-0.004907	-0.652832	0.499023	-0.674805	0.057849	-0.008401	0.077903	0.465960	-0.294042	-0.116167	-0.826393	-5.853406	-36.458973	-119.237911
33976		5.784109	-0.814550	7.789507	-0.013732	0.009069	-0.076387	0.006665	0.018016	-0.007009	-0.650879	0.495850	-0.665283	0.057848	-0.008150	0.077890	0.465946	-0.293985	-0.116189	-0.826419	-5.845640	-36.454499	-119.243734
33977		5.798991	-0.835682	7.822847	-0.026140	0.025261	-0.039138	0.006840	0.022329	-0.007766	-0.653809	0.502930	-0.660645	0.057998	-0.008362	0.078222	0.465930	-0.293909	-0.116203	-0.826453	-5.837236	-36.447717	-119.250587
33978		5.774970	-0.809991	7.815505	0.000649	0.024446	-0.061386	0.004596	0.020203	-0.007550	-0.645020	0.509033	-0.670898	0.057757	-0.008104	0.078149	0.465906	-0.293849	-0.116210	-0.826486	-5.830370	-36.442134	-119.257619
