// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B47783
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
00805		8.056993	-0.036752	-3.686008	0.000000	0.000000	-0.952501	0.157174	0.554545	0.231982	-0.742920	0.062012	0.595459	0.080468	-0.000245	-0.037084	0.055839	-0.837915	-0.084666	-0.536294	-179.621373	-65.256914	11.297141
00806		8.027646	0.323634	-3.521509	-0.000000	-0.000000	-1.040663	0.175433	0.768003	0.300564	-0.748047	0.071533	0.597412	0.080135	0.003388	-0.035520	0.083197	-0.822185	-0.162709	-0.539088	174.551605	-65.998406	25.927874
00807		8.038956	0.529148	-3.492318	0.220861	-0.327352	-1.040888	0.139322	0.960157	0.390646	-0.753906	0.072754	0.583252	0.080210	0.005473	-0.035305	0.077330	-0.827789	-0.132582	-0.539636	177.872682	-66.052116	19.581901
00808		8.113700	0.588988	-3.500644	0.184589	-0.442467	-0.969458	0.105872	1.124741	0.492126	-0.763672	0.080566	0.580322	0.080924	0.006108	-0.035459	0.079840	-0.825024	-0.130394	-0.544021	178.531547	-66.705084	18.929004
00809		8.255740	0.451262	-3.486742	0.116979	-0.384223	-0.848558	0.108798	1.268625	0.597833	-0.765137	0.083496	0.570801	0.082320	0.004778	-0.035388	0.083637	-0.821660	-0.127468	-0.549210	179.615122	-67.495550	17.893747
00810		8.444594	0.204957	-3.442995	0.051473	-0.205765	-0.693438	0.103537	1.405248	0.673873	-0.779541	0.091553	0.560303	0.084194	0.002352	-0.035021	0.086806	-0.818162	-0.124393	-0.554619	-179.370551	-68.299903	16.863026
00811		8.518283	-0.009259	-3.506103	-0.153314	-0.109627	-0.603102	0.125683	1.528688	0.722670	-0.780762	0.093506	0.562012	0.084911	0.000237	-0.035711	0.090265	-0.814239	-0.121340	-0.560486	-178.231167	-69.170652	15.732322
00812		8.557500	-0.136578	-3.411035	-0.211359	-0.064969	-0.602178	0.182820	1.618402	0.730072	-0.787354	0.102539	0.535645	0.085299	-0.001022	-0.034802	0.094033	-0.810031	-0.118145	-0.566612	-176.894938	-70.079360	14.418702
00813		8.605562	-0.007483	-3.415887	-0.284304	-0.281933	-0.562752	0.262669	1.683898	0.699581	-0.805176	0.110107	0.531982	0.085763	0.000271	-0.034882	0.097453	-0.805653	-0.115720	-0.572744	-175.693214	-70.982603	13.275792
00814		8.735334	0.289487	-3.366253	-0.240597	-0.653975	-0.472805	0.326634	1.723523	0.658612	-0.809082	0.109619	0.519287	0.087049	0.003238	-0.034408	0.101648	-0.800904	-0.113157	-0.579151	-174.124117	-71.932799	11.818240
00815		8.893134	0.611198	-3.112701	0.002465	-0.966578	-0.420488	0.284354	1.763873	0.602856	-0.824707	0.118408	0.501953	0.088633	0.006424	-0.031901	0.105027	-0.796152	-0.111761	-0.585338	-172.911233	-72.845368	10.747932
00816		9.014344	0.958624	-2.989279	0.111446	-1.360255	-0.365584	0.165079	1.798098	0.551453	-0.827881	0.124023	0.487793	0.089843	0.009859	-0.030693	0.108299	-0.791076	-0.109100	-0.592088	-171.298436	-73.822526	9.163215
00817		9.016587	1.301448	-2.773213	0.276366	-1.685180	-0.444416	-0.002578	1.785092	0.502177	-0.841553	0.127441	0.476318	0.089881	0.013240	-0.028535	0.110830	-0.786062	-0.109143	-0.598257	-170.456249	-74.736731	8.514276
00818		9.093812	1.551263	-2.503439	0.470473	-1.927190	-0.462118	-0.210842	1.735760	0.448347	-0.847412	0.126709	0.466064	0.090681	0.015689	-0.025839	0.112285	-0.781199	-0.105784	-0.604921	-168.947081	-75.669401	6.828456
00819		9.343048	1.775132	-1.795186	1.121536	-1.925053	-0.394606	-0.442379	1.663339	0.391797	-0.853271	0.125488	0.445313	0.093242	0.017893	-0.018767	0.113378	-0.776362	-0.108223	-0.610487	-169.141318	-76.521842	7.298112
00820		9.857757	2.399735	-1.801660	1.274258	-2.569605	0.084349	-0.880351	1.391330	0.157203	-0.858154	0.122559	0.442383	0.098430	0.023993	-0.018807	0.111190	-0.772673	-0.104133	-0.616254	-168.604468	-77.286677	6.229073
00821		6.709873	3.934196	-5.300649	-2.247110	-5.136385	-2.251974	-0.956360	0.586674	-0.082653	-0.865967	0.127197	0.436768	0.066959	0.039060	-0.053390	0.109426	-0.770489	-0.111344	-0.618041	-171.686641	-77.622376	9.754928
00822		5.171734	5.192059	-4.842027	-1.825028	-6.216650	-3.882105	-0.896810	-0.379427	-0.018092	-0.865967	0.118164	0.445068	0.051814	0.051698	-0.048554	0.105703	-0.772133	-0.108849	-0.617082	-172.382903	-77.408514	9.941772
00823		10.393355	2.940993	-1.636327	1.711498	-2.631836	0.651202	-2.296740	-0.597067	0.107577	-0.858887	0.104248	0.453369	0.103967	0.029278	-0.016390	0.102745	-0.774147	-0.123330	-0.612315	-177.987886	-76.751917	16.510028
00824		15.885908	-3.092191	-2.347887	0.397634	3.281998	6.203089	-3.664130	-0.095587	0.234709	-0.860840	0.084473	0.449219	0.158907	-0.031158	-0.022834	0.089205	-0.776336	-0.111232	-0.613981	-179.522579	-76.694244	15.929820
00825		13.483113	-8.593473	-3.926098	-3.310184	8.142924	4.108159	-2.308432	0.405372	0.413983	-0.862061	0.078369	0.438232	0.134931	-0.086103	-0.038541	0.086536	-0.775067	-0.119582	-0.614397	176.815671	-76.678651	20.060215
00826		8.135753	-7.224045	-1.524049	-1.759758	7.121136	-1.633893	-0.348933	0.198097	0.177729	-0.864258	0.076660	0.437988	0.081407	-0.072195	-0.015195	0.085848	-0.774714	-0.117735	-0.615295	177.021289	-76.797463	19.643562
00827		6.584656	-6.264209	0.704867	0.322257	6.679699	-3.618124	-0.211814	0.083562	0.025895	-0.867676	0.080322	0.438721	0.065858	-0.062626	0.007087	0.084731	-0.775356	-0.113874	-0.615367	177.803714	-76.793880	18.450905
00828		7.641435	-4.127740	0.772082	1.203164	4.737277	-2.592139	0.466512	-0.013051	-0.411829	-0.864258	0.074463	0.439453	0.076329	-0.041452	0.007629	0.085265	-0.774960	-0.116911	-0.615223	177.068590	-76.775854	19.480587
00829		8.674325	-1.322525	0.196631	1.733315	1.864296	-1.413207	0.984226	-0.294885	-0.751187	-0.848877	0.069824	0.446289	0.086690	-0.013561	0.002028	0.082305	-0.776369	-0.107782	-0.615517	178.776384	-76.774592	16.776912
00830		9.333453	0.709731	-0.655004	1.627784	-0.199862	-0.573858	0.790358	-0.297352	-0.798626	-0.857910	0.074219	0.447998	0.093372	0.006750	-0.006384	0.082753	-0.776515	-0.113435	-0.614255	177.321824	-76.588717	18.737022
00831		10.190570	2.173874	-1.334767	1.548028	-1.795368	0.421309	0.484454	-0.301606	-0.787945	-0.844971	0.065918	0.442627	0.102010	0.021369	-0.013142	0.077473	-0.777640	-0.104100	-0.615172	178.120086	-76.629528	16.734800
00832		10.761473	3.293622	-1.618451	1.721403	-2.825003	1.065366	0.131010	-0.355559	-0.733492	-0.853516	0.065430	0.449707	0.107763	0.032552	-0.015972	0.075541	-0.778295	-0.107492	-0.614000	176.484100	-76.406225	18.494327
00833		9.857313	3.111734	-2.125832	0.954971	-2.832924	0.308126	-0.407640	-0.269359	-0.530626	-0.846680	0.057129	0.448242	0.098684	0.030812	-0.021188	0.069869	-0.779007	-0.101571	-0.614776	176.086785	-76.415173	17.937896
00834		9.118032	1.220267	-2.183362	0.268262	-1.012640	-0.416037	-0.874445	-0.067799	-0.279207	-0.841309	0.049316	0.453369	0.091205	0.011980	-0.021855	0.065570	-0.779371	-0.099993	-0.615047	174.939616	-76.363931	18.602713
