// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B4778F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
29833		9.628356	0.648648	-0.469944	-0.204563	-0.374751	-0.160509	-0.024513	0.036697	-0.072944	-1.051514	-0.302002	-0.321045	0.096285	0.006451	-0.004718	0.343627	0.642494	-0.350106	0.588684	157.465522	-85.607268	-36.265480
29834		9.564416	0.615941	-0.533659	-0.207858	-0.293999	-0.220368	-0.024152	0.021987	-0.087795	-1.050049	-0.299805	-0.325195	0.095646	0.006117	-0.005348	0.344002	0.642556	-0.349850	0.588548	156.773389	-85.597146	-35.584714
29835		9.628279	0.567772	-0.513314	-0.145092	-0.282904	-0.159267	-0.023505	0.018396	-0.099149	-1.051270	-0.314209	-0.322998	0.096285	0.005629	-0.005143	0.344397	0.642654	-0.349557	0.588385	156.020636	-85.581725	-34.841826
29836		9.864054	0.562306	-0.477145	-0.099232	-0.315077	0.073378	-0.048992	0.012157	-0.091733	-1.056152	-0.308105	-0.328857	0.098643	0.005577	-0.004779	0.344853	0.642705	-0.349384	0.588164	155.324934	-85.564277	-34.172868
29837		10.190862	0.218798	-0.445610	0.238013	-0.171515	0.386040	-0.121578	0.037311	-0.075206	-1.051270	-0.304688	-0.321777	0.101909	0.002147	-0.004476	0.345526	0.642536	-0.349424	0.587931	154.626602	-85.563067	-33.540898
29838		10.251434	0.063260	-0.575342	0.311768	0.026793	0.450304	-0.077328	0.089919	-0.064873	-1.045166	-0.303223	-0.330566	0.102512	0.000597	-0.005800	0.346132	0.642260	-0.349290	0.587955	153.849501	-85.591170	-32.807196
29839		10.044111	0.342554	-0.481894	0.108823	-0.177657	0.246652	-0.007284	0.087541	-0.061835	-1.046875	-0.306396	-0.324219	0.100440	0.003394	-0.004863	0.346486	0.642117	-0.348950	0.588105	153.133470	-85.617869	-32.091832
29840		9.836982	0.571559	-0.413721	-0.064830	-0.336025	0.043627	-0.016880	0.077849	-0.044923	-1.045166	-0.302979	-0.323975	0.098369	0.005693	-0.004176	0.346819	0.641946	-0.348724	0.588230	152.547479	-85.643684	-31.515255
29841		9.659944	0.586346	-0.432229	-0.098563	-0.312072	-0.130847	-0.030267	0.080682	-0.037278	-1.045654	-0.304688	-0.319824	0.096599	0.005845	-0.004362	0.347162	0.641739	-0.348542	0.588360	151.990238	-85.672275	-30.972395
29842		9.593108	0.530921	-0.405736	-0.042143	-0.295159	-0.200959	-0.037719	0.073906	-0.038587	-1.047119	-0.307129	-0.331543	0.095931	0.005290	-0.004094	0.347522	0.641541	-0.348390	0.588454	151.436185	-85.696835	-30.437258
29843		9.633322	0.588276	-0.309146	-0.038910	-0.401151	-0.164885	-0.057381	0.064109	-0.038932	-1.045654	-0.311523	-0.331787	0.096333	0.005863	-0.003124	0.347928	0.641339	-0.348311	0.588481	150.900010	-85.715856	-29.931137
29844		9.746570	0.602979	-0.246318	-0.011389	-0.458817	-0.055165	-0.073861	0.067328	-0.045767	-1.050293	-0.312256	-0.322266	0.097466	0.006007	-0.002498	0.348427	0.641102	-0.348266	0.588471	150.288350	-85.734418	-29.361298
29845		9.818914	0.613495	-0.247318	-0.015999	-0.456713	0.017865	-0.097884	0.089524	-0.045392	-1.052490	-0.313965	-0.327393	0.098189	0.006111	-0.002520	0.349025	0.640765	-0.348241	0.588497	149.577251	-85.763365	-28.703069
29846		9.856418	0.792984	-0.217138	-0.152801	-0.564139	0.060677	-0.084746	0.122131	-0.054267	-1.042480	-0.309814	-0.326904	0.098565	0.007902	-0.002235	0.349659	0.640375	-0.348083	0.588640	148.670645	-85.805098	-27.840010
29847		9.891304	0.857140	-0.147832	-0.171203	-0.643357	0.094442	-0.104616	0.129326	-0.066895	-1.049805	-0.312012	-0.337891	0.098915	0.008538	-0.001547	0.350412	0.639946	-0.347940	0.588743	147.623349	-85.845381	-26.848622
29848		9.967899	0.865420	-0.108458	-0.154138	-0.667987	0.169785	-0.155405	0.138586	-0.072167	-1.047363	-0.305908	-0.334961	0.099681	0.008617	-0.001160	0.351364	0.639406	-0.347915	0.588777	146.447596	-85.887225	-25.758519
29849		9.981992	0.810136	-0.016506	-0.059376	-0.702430	0.177298	-0.195017	0.132180	-0.084000	-1.043457	-0.308350	-0.342773	0.099823	0.008059	-0.000239	0.352460	0.638839	-0.347977	0.588701	145.181377	-85.920383	-24.599674
29850		9.938707	0.698113	-0.030623	0.027224	-0.614418	0.131553	-0.245568	0.141331	-0.091957	-1.042480	-0.312012	-0.348877	0.099390	0.006935	-0.000385	0.353770	0.638159	-0.348158	0.588546	143.767095	-85.953465	-23.324040
29851		9.962979	0.609600	-0.014480	0.113237	-0.565778	0.152242	-0.273745	0.148692	-0.088538	-1.042236	-0.310303	-0.347900	0.099632	0.006052	-0.000227	0.355158	0.637409	-0.348406	0.588375	142.304706	-85.988568	-22.013855
29852		10.030155	0.604886	0.079825	0.168351	-0.627423	0.214986	-0.286954	0.159777	-0.087336	-1.039307	-0.308105	-0.349365	0.100305	0.006006	0.000709	0.356624	0.636586	-0.348694	0.588209	140.754517	-86.026926	-20.626887
29853		10.067512	0.499732	0.199763	0.319376	-0.659131	0.242557	-0.340128	0.180197	-0.077124	-1.036133	-0.305664	-0.349121	0.100679	0.004962	0.001898	0.358243	0.635602	-0.349116	0.588040	139.106123	-86.075016	-19.168508
29854		10.126015	0.466006	0.277925	0.386538	-0.689512	0.296996	-0.355737	0.212506	-0.067487	-1.038330	-0.307861	-0.355713	0.101265	0.004631	0.002663	0.359952	0.634466	-0.349566	0.587955	137.280587	-86.137789	-17.544121
29855		10.009823	0.520708	0.342922	0.356477	-0.746395	0.182363	-0.343530	0.253098	-0.059836	-1.041260	-0.302246	-0.350830	0.100104	0.005183	0.003294	0.361655	0.633225	-0.349919	0.588038	135.213733	-86.216356	-15.668521
29856		9.831806	0.571586	0.295021	0.267233	-0.700080	0.011597	-0.376415	0.281960	-0.040970	-1.045166	-0.306396	-0.369141	0.098323	0.005701	0.002801	0.363465	0.631797	-0.350382	0.588182	132.968920	-86.309684	-13.635331
29857		9.669184	0.492547	0.118748	0.227937	-0.478669	-0.144767	-0.442247	0.275268	-0.024234	-1.042480	-0.306152	-0.365723	0.096694	0.004916	0.001044	0.365410	0.630243	-0.351093	0.588220	130.729712	-86.402104	-11.644086
29858		9.715783	0.508645	0.055035	0.174701	-0.406414	-0.093508	-0.461909	0.246360	-0.026732	-1.037109	-0.301758	-0.369385	0.097159	0.005075	0.000419	0.367390	0.628726	-0.351921	0.588115	128.559015	-86.478201	-9.736272
29859		9.850827	0.636193	0.158156	0.110861	-0.535725	0.044757	-0.499944	0.232189	-0.032956	-1.032471	-0.300049	-0.376709	0.098511	0.006349	0.001451	0.369462	0.627199	-0.352849	0.587892	126.360355	-86.541679	-7.819103
29860		9.884163	0.681517	0.064641	0.018673	-0.451442	0.084844	-0.556247	0.226413	-0.029657	-1.026123	-0.294189	-0.385742	0.098843	0.006802	0.000516	0.371701	0.625564	-0.353972	0.587547	124.110306	-86.600478	-5.885357
29861		10.025827	0.615216	-0.043693	0.024463	-0.301508	0.227534	-0.586596	0.223528	-0.020031	-1.041504	-0.300781	-0.384033	0.100258	0.006141	-0.000567	0.373985	0.623869	-0.355205	0.587157	121.855111	-86.658163	-3.961528
29862		10.254403	0.693588	-0.133549	-0.083533	-0.235569	0.462971	-0.602685	0.218166	-0.008485	-1.032227	-0.295898	-0.389648	0.102543	0.006927	-0.001468	0.376290	0.622119	-0.356542	0.586729	119.612883	-86.715758	-2.063336
29863		10.450847	0.513348	-0.126671	0.078158	-0.133753	0.650376	-0.646301	0.252571	0.017374	-1.025879	-0.284912	-0.395264	0.104506	0.005138	-0.001415	0.378693	0.620146	-0.358004	0.586381	117.095652	-86.790895	0.088446
